date,datetime,Visites_by_hour
01/03/2014,01/03/2014 11,14
01/03/2014,01/03/2014 11,18
01/03/2014,01/03/2014 11,5
01/03/2014,01/03/2014 11,13
01/03/2014,01/03/2014 11,12
01/03/2014,01/03/2014 11,19
01/03/2014,01/03/2014 11,13
01/03/2014,01/03/2014 11,16
01/03/2014,01/03/2014 11,12
01/03/2014,01/03/2014 11,10
01/03/2014,01/03/2014 11,16
01/03/2014,01/03/2014 12,18
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,3
01/03/2014,01/03/2014 12,6
01/03/2014,01/03/2014 12,11
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,17
01/03/2014,01/03/2014 12,9
01/03/2014,01/03/2014 12,9
01/03/2014,01/03/2014 12,8
01/03/2014,01/03/2014 12,9
01/03/2014,01/03/2014 12,6
01/03/2014,01/03/2014 12,8
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,8
01/03/2014,01/03/2014 12,13
01/03/2014,01/03/2014 12,6
01/03/2014,01/03/2014 12,13
01/03/2014,01/03/2014 12,8
01/03/2014,01/03/2014 12,12
01/03/2014,01/03/2014 12,19
01/03/2014,01/03/2014 12,12
01/03/2014,01/03/2014 12,13
01/03/2014,01/03/2014 12,6
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,12
01/03/2014,01/03/2014 12,8
01/03/2014,01/03/2014 12,6
01/03/2014,01/03/2014 12,13
01/03/2014,01/03/2014 12,11
01/03/2014,01/03/2014 12,15
01/03/2014,01/03/2014 12,7
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,11
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,11
01/03/2014,01/03/2014 12,16
01/03/2014,01/03/2014 12,11
01/03/2014,01/03/2014 12,8
01/03/2014,01/03/2014 12,20
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,6
01/03/2014,01/03/2014 12,9
01/03/2014,01/03/2014 12,11
01/03/2014,01/03/2014 12,9
01/03/2014,01/03/2014 12,7
01/03/2014,01/03/2014 12,14
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,16
01/03/2014,01/03/2014 12,7
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,17
01/03/2014,01/03/2014 12,14
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,13
01/03/2014,01/03/2014 12,14
01/03/2014,01/03/2014 12,10
01/03/2014,01/03/2014 12,9
01/03/2014,01/03/2014 12,13
01/03/2014,01/03/2014 13,11
01/03/2014,01/03/2014 13,10
01/03/2014,01/03/2014 13,11
01/03/2014,01/03/2014 13,15
01/03/2014,01/03/2014 13,9
01/03/2014,01/03/2014 13,13
01/03/2014,01/03/2014 13,9
01/03/2014,01/03/2014 13,8
01/03/2014,01/03/2014 13,9
01/03/2014,01/03/2014 13,10
01/03/2014,01/03/2014 13,9
01/03/2014,01/03/2014 13,11
01/03/2014,01/03/2014 13,13
01/03/2014,01/03/2014 13,10
01/03/2014,01/03/2014 13,8
01/03/2014,01/03/2014 13,9
01/03/2014,01/03/2014 13,15
01/03/2014,01/03/2014 13,9
01/03/2014,01/03/2014 13,9
01/03/2014,01/03/2014 13,4
01/03/2014,01/03/2014 13,5
01/03/2014,01/03/2014 13,12
01/03/2014,01/03/2014 13,8
01/03/2014,01/03/2014 13,10
01/03/2014,01/03/2014 13,8
