"hour","date","Visite.gain","TypeWeekDay","length","channel","DAYPART","MMDAYPART","ChaineEcranWD","ChaineDaypartWD","ChaineMMDaypartWD","crea","budgetbrut","budgetnet","grp","grpref","tav","tavtap","EmavShort","month","dayofweek","consumption","nthweek","festival","gta","visitByhour"
12,"2014-04-18",146,"WD",20,"M6","DAY","DAY1213","M61250WD","M6DAYWD","M6DAY1213WD","la terrasse",5508,991.44,1.19,0.58,"EBD","SPLIT","PLUS VITE ",4,6,57810,"15",2,"75","0.0437506265"
12,"2014-04-05",233,"WE",20,"M6","DAY","DAY1213","M61250WE","M6DAYWE","M6DAY1213WE","effet sculptant",4455,801.9,0.81,0.83,"EBJ","SPLIT","CULTURES L",4,7,53216,"13",0,"82","0.0437506265"
12,"2014-04-19",195,"WE",12,"M6","DAY","DAY1213","M61205WE","M6DAYWE","M6DAY1213WE","la chaussure pour toutes les morpho'",2565,461.7,0.09,0.31,"ACB","ACB","NEW GIRL:L",4,7,52357,"15",0,"89","0.0437506265"
12,"2014-04-22",102,"WD",12,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1230WD","PuissanceTNTDAYWD","PuissanceTNTDAY1213WD","la lingerie pour toutes les morpho",1368,246.24,0,0.28,"J","J","W9 HITS+UN",4,3,58522,"16",0,"73","0.0437506265"
12,"2014-04-26",114,"WE",12,"M6","DAY","DAY1213","M61250WE","M6DAYWE","M6DAY1213WE","la lingerie pour toutes les morpho",3135,564.3,0.8,0.66,"EBJ","SPLIT","CULTURES L",4,7,52139,"16",0,"89","0.0437506265"
12,"2014-04-16",94,"WD",12,"M6","DAY","DAY1213","M61240WD","M6DAYWD","M6DAY1213WD","la lingerie pour toutes les morpho",3534,636.12,0.36,0.55,"ACC","SPLIT","LA PETITE ",4,4,58597,"15",0,"73","0.0437506265"
12,"2014-04-14",122,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","la terrasse",5265,947.7,0.5,0.69,"ACC","ACC","LA PETITE ",4,2,56894,"15",0,"78","0.0437506265"
12,"2014-04-18",116,"WD",12,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1250WD","PuissanceTNTDAYWD","PuissanceTNTDAY1213WD","la chaussure pour toutes les morpho'",1767,318.06,0.16,0.35,"AC","AC","GLEE:LE DR",4,6,57810,"15",2,"75","0.0437506265"
12,"2014-04-23",118,"WD",12,"M6","DAY","DAY1213","M61240WD","M6DAYWD","M6DAY1213WD","la lingerie pour toutes les morpho",3420,615.6,0.88,0.55,"ACC","SPLIT","LA PETITE ",4,4,57311,"16",0,"71","0.0437506265"
12,"2014-04-16",141,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","effet sculptant",5265,947.7,0.56,0.59,"ACC","ACC","LA PETITE ",4,4,58587,"15",0,"73","0.0437506265"
12,"2014-04-24",118,"WD",20,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1230WD","PuissanceTNTDAYWD","PuissanceTNTDAY1213WD","la terrasse",1944,349.92,0.12,0.11,"J","SPLIT","TALENT TOU",4,5,57244,"16",0,"77","0.0437506265"
12,"2014-03-26",244,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","la terrasse",5346,962.28,1.58,0.73,"ACB","ACB","SCENES DE ",3,4,65232,"12",0,"63","0.0437506265"
12,"2014-04-20",64,"WE",12,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1230WE","PuissanceTNTDAYWE","PuissanceTNTDAY1213WE","la lingerie pour toutes les morpho",1368,246.24,0.41,0.26,"J","SPLIT","METEO W9+S",4,1,49592,"15",0,"84","0.0437506265"
12,"2014-04-28",77,"WD",12,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1230WD","PuissanceTNTDAYWD","PuissanceTNTDAY1213WD","la lingerie pour toutes les morpho",912,164.16,0.12,0.15,"J","J","W9 HITS+UN",4,2,58867,"17",0,"69","0.0437506265"
12,"2014-04-25",165,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","la terrasse",4860,874.8,0.7,0.74,"ACC","ACC","LA PETITE ",4,6,57868,"16",0,"65","0.0437506265"
12,"2014-04-29",134,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","effet sculptant",4860,874.8,1.02,0.72,"ACC","ACC","LA PETITE ",4,3,58931,"17",0,"65","0.0437506265"
12,"2014-03-13",109,"WD",12,"M6","DAY","DAY1213","M61240WD","M6DAYWD","M6DAY1213WD","effet push-up",3306,595.08,0.77,0.62,"ACB","SPLIT","SCENES DE ",3,5,61026,"10",0,"71","0.0437506265"
12,"2014-04-04",189,"WD",20,"M6","DAY","DAY1213","M61240WD","M6DAYWD","M6DAY1213WD","effet sculptant",4860,874.8,1.01,0.87,"ACB","SPLIT","SCENES DE ",4,6,60334,"13",0,"71","0.0437506265"
12,"2014-03-28",133,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","la mode pour toutes les morpho",5346,962.28,0.87,0.64,"ACB","ACB","SCENES DE ",3,6,63447,"12",0,"64","0.0437506265"
12,"2014-03-17",218,"WD",20,"M6","DAY","DAY1213","M61250WD","M6DAYWD","M6DAY1213WD","effet sculptant",5265,947.7,0.57,0.79,"EBL","SPLIT","LA MINUTE ",3,2,60604,"11",0,"71","0.0437506265"
12,"2014-04-12",321,"WE",20,"M6","DAY","DAY1213","M61240WE","M6DAYWE","M6DAY1213WE","effet sculptant",4293,772.74,0.6,0.71,"CBB","SPLIT","LES REINES",4,7,50918,"14",0,"79","0.0437506265"
12,"2014-03-19",167,"WD",12,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","la chaussure pour toutes les morpho'",3762,677.16,1.17,0.85,"ACB","ACB","SCENES DE ",3,4,61254,"11",0,"62","0.0437506265"
12,"2014-04-17",165,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","la terrasse",5265,947.7,0.84,0.58,"ACC","ACC","LA PETITE ",4,5,57526,"15",0,"75","0.0437506265"
12,"2014-04-24",68,"WD",12,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1220WD","PuissanceTNTDAYWD","PuissanceTNTDAY1213WD","la chaussure pour toutes les morpho'",803.7,144.666,0.21,0.17,"J","J","W9 HITS+UN",4,5,56986,"16",0,"77","0.0437506265"
12,"2014-04-18",105,"WD",20,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","effet sculptant",5265,947.7,0.47,0.56,"ACC","ACC","LA PETITE ",4,6,57620,"15",2,"75","0.0437506265"
12,"2014-04-29",93,"WD",20,"PuissanceTNT","DAY","DAY1213","PuissanceTNT1230WD","PuissanceTNTDAYWD","PuissanceTNTDAY1213WD","effet sculptant",1296,233.28,0,0.09,"J","J","W9 HITS+UN",4,3,58931,"17",0,"65","0.0437506265"
12,"2014-04-09",151,"WD",12,"M6","DAY","DAY1213","M61230WD","M6DAYWD","M6DAY1213WD","la chaussure pour toutes les morpho'",2850,513,0.78,0.57,"ACB","ACB","SCENES DE ",4,4,58743,"14",0,"71","0.0437506265"
12,"2014-04-09",183,"WD",12,"M6","DAY","DAY1213","M61250WD","M6DAYWD","M6DAY1213WD","la lingerie pour toutes les morpho",3705,666.9,1.46,1.11,"EBD","SPLIT","PLUS VITE ",4,4,58864,"14",0,"71","0.0437506265"
